Value,Description
30,Pelagic_fish_spawning_start_day
270,Pelagic_fish_spawning_duration_(days)
90,Pelagic_fish_recruitment_start_day
330,Pelagic_fish_recruitment_duration_(days)
60,Demersal_fish_spawning_start_day
180,Demersal_fish_spawning_duration_(days)
120,Demersal_fish_recruitment_start_day
240,Demersal_fish_recruitment_duration_(days)
30,Filt/dep_benthos_spawning_start_day
270,Filt/dep_benthos_spawning_duration_(days)
90,Filt/dep_benthos_recruitment_start_day
330,Filt/dep_benthos_recruitment_duration_(days)
30,Carn/scav_benthos_spawning_start_day
270,Carn/scav_benthos_spawning_duration_(days)
90,Carn/scav_benthos_recruitment_start_day
330,Carn/scav_benthos_recruitment_duration_(days)
1,Migratory_fish_switch_(0=off_1=on)
5808957.819,Migratory_fish_ocean_biomass_(Tonnes_wet_weight)
0.184,Migratory_fish_carbon_to_wet_weight_(g/g)
35558.4495,Model_domain_sea_surface_area_(km2)
0.000533778,Propn_of_ocean_population_entering_model_domain_each_year
340,Imigration_start_day
67,Imigration_end_day_(must_be_later_than_start_day_even_if_migration_disabled)
0.732128716,Propn_of_peak_popn_in_model_domain_which_remains_and_does_not_emigrate
159,Emigration_start_day
277,Emigration_end_day_(must_be_later_than_start_day_even_if_migration_disabled)
